"|","|__name","|__year","|__position","|__rating","|__url"
"1950","Pather Panchali","1955","1","8.5","https://www.imdb.com/title/tt0048473/"
"","Aparajito","1956","21","8.3","https://www.imdb.com/title/tt0048956/"
"","Pyaasa","1957","23","8.3","https://www.imdb.com/title/tt0050870/"
"","Mother India","1957","114","8.0","https://www.imdb.com/title/tt0050188/"
"","Jalsaghar","1958","122","7.9","https://www.imdb.com/title/tt0051792/"
"","Apur Sansar","1959","5","8.5","https://www.imdb.com/title/tt0052572/"
"1960","Mughal-E-Azam","1960","70","8.1","https://www.imdb.com/title/tt0054098/"
"","Charulata","1964","68","8.1","https://www.imdb.com/title/tt0057935/"
"","Guide","1965","24","8.3","https://www.imdb.com/title/tt0059246/"
"","Padosan","1968","110","8.0","https://www.imdb.com/title/tt0063404/"
"1970","Anand","1971","29","8.2","https://www.imdb.com/title/tt0066763/"
"","Chupke Chupke","1975","28","8.2","https://www.imdb.com/title/tt0072783/"
"","Sholay","1975","60","8.1","https://www.imdb.com/title/tt0073707/"
"","Deewaar","1975","106","8.0","https://www.imdb.com/title/tt0072860/"
"","Don","1978","173","7.7","https://www.imdb.com/title/tt0077451/"
"","Gol Maal","1979","2","8.5","https://www.imdb.com/title/tt0079221/"
"1980","Jaane Bhi Do Yaaro","1983","22","8.3","https://www.imdb.com/title/tt0085743/"
"","Nayakan","1987","3","8.5","https://www.imdb.com/title/tt0093603/"
"","Mr. India","1987","168","7.7","https://www.imdb.com/title/tt0093578/"
"","Qayamat Se Qayamat Tak","1988","250","7.5","https://www.imdb.com/title/tt0095936/"
"","Kireedam","1989","9","8.4","https://www.imdb.com/title/tt0237376/"
"1990","Agneepath","1990","200","7.6","https://www.imdb.com/title/tt0098999/"
"","Thalapathi","1991","20","8.3","https://www.imdb.com/title/tt0101649/"
"","Thevar Magan","1992","12","8.4","https://www.imdb.com/title/tt0105575/"
"","Jo Jeeta Wohi Sikandar","1992","69","8.1","https://www.imdb.com/title/tt0104561/"
"","Roja","1992","85","8.1","https://www.imdb.com/title/tt0105271/"
"","Manichitrathazhu","1993","10","8.4","https://www.imdb.com/title/tt0214915/"
"","Darr","1993","193","7.6","https://www.imdb.com/title/tt0109555/"
"","Baazigar","1993","212","7.6","https://www.imdb.com/title/tt0106333/"
"","Andaz Apna Apna","1994","83","8.1","https://www.imdb.com/title/tt0109117/"
"","Kabhi Haan Kabhi Naa","1994","192","7.6","https://www.imdb.com/title/tt0110222/"
"","Baasha","1995","89","8.1","https://www.imdb.com/title/tt0139876/"
"","Bombay","1995","99","8.0","https://www.imdb.com/title/tt0112553/"
"","Dilwale Dulhania Le Jayenge","1995","107","8.0","https://www.imdb.com/title/tt0112870/"
"","Indian","1996","104","8.0","https://www.imdb.com/title/tt0116630/"
"","Border","1997","144","7.8","https://www.imdb.com/title/tt0118751/"
"","Satya","1998","47","8.2","https://www.imdb.com/title/tt0195231/"
"","Earth","1998","199","7.6","https://www.imdb.com/title/tt0150433/"
"","Kuch Kuch Hota Hai","1998","219","7.5","https://www.imdb.com/title/tt0172684/"
"","Dil Se..","1998","233","7.5","https://www.imdb.com/title/tt0164538/"
"","Mudhalvan","1999","50","8.2","https://www.imdb.com/title/tt0220656/"
"","Sarfarosh","1999","80","8.1","https://www.imdb.com/title/tt0200087/"
"","Padayappa","1999","117","8.0","https://www.imdb.com/title/tt0213969/"
